user_id,movie_id,rating
1,1196,2
1,1034,5
1,1136,5
1,1022,3
1,1081,1
1,1098,5
1,1069,1
1,1192,4
1,1109,4
1,1112,2
1,1006,2
1,1159,1
1,1057,3
1,1019,3
1,1045,3
1,1200,1
1,1101,5
1,1175,3
1,1090,3
1,1012,2
1,1107,4
1,1182,1
1,1077,3
1,1003,2
1,1143,2
1,1190,3
1,1051,2
1,1015,5
1,1009,4
1,1108,3
1,1093,2
1,1139,5
1,1140,1
1,1176,5
1,1082,2
1,1189,2
1,1169,5
1,1179,3
1,1097,1
1,1181,3
1,1021,1
1,1104,4
1,1062,1
1,1011,4
1,1168,3
1,1194,1
1,1025,3
1,1121,2
1,1070,4
1,1188,3
1,1056,5
1,1119,4
1,1010,2
1,1113,1
1,1111,3
2,1196,5
2,1003,4
2,1113,3
2,1111,3
2,1127,5
2,1071,2
2,1167,1
2,1002,5
2,1023,3
2,1029,3
2,1026,4
2,1013,3
2,1063,2
2,1122,4
2,1048,2
2,1065,3
2,1171,3
2,1058,1
2,1008,4
2,1082,1
2,1155,5
2,1156,4
2,1060,5
2,1069,3
2,1017,1
2,1193,5
2,1010,3
2,1030,5
2,1019,4
2,1105,3
2,1103,4
2,1052,1
2,1096,5
2,1014,5
2,1106,5
2,1034,5
2,1102,2
2,1147,1
2,1173,5
2,1163,5
2,1116,3
2,1149,4
2,1038,3
2,1104,2
2,1087,2
2,1109,2
2,1033,3
3,1121,5
3,1036,4
3,1122,3
3,1078,2
3,1177,1
3,1039,5
3,1180,2
3,1018,4
3,1198,3
3,1046,4
3,1074,3
3,1005,3
3,1054,3
3,1058,4
3,1087,3
3,1157,1
3,1062,4
3,1045,2
3,1185,2
3,1031,5
3,1175,1
3,1061,3
3,1070,1
3,1189,1
3,1109,4
3,1083,4
3,1170,3
3,1178,3
3,1100,4
3,1192,2
3,1155,2
3,1186,2
3,1099,3
3,1149,5
3,1003,3
3,1174,1
3,1032,5
3,1112,2
3,1081,2
3,1116,3
3,1187,2
3,1139,5
3,1037,3
3,1010,1
3,1166,4
3,1035,3
3,1038,4
3,1034,3
3,1021,2
3,1145,2
3,1012,4
3,1179,4
3,1068,3
3,1167,3
3,1105,1
3,1025,1
3,1024,3
3,1101,1
3,1132,4
3,1059,5
4,1135,1
4,1184,1
4,1125,3
4,1019,1
4,1054,5
4,1136,3
4,1016,2
4,1147,2
4,1053,5
4,1199,5
4,1129,4
4,1031,3
4,1194,4
4,1159,2
4,1100,2
4,1176,1
4,1033,2
4,1080,3
4,1021,1
4,1060,4
4,1006,3
4,1190,3
4,1188,2
4,1069,4
4,1134,3
4,1156,4
4,1042,5
4,1189,5
4,1130,5
4,1115,2
4,1075,3
4,1131,5
4,1027,4
4,1029,3
4,1175,4
4,1127,3
4,1091,3
4,1173,4
4,1032,5
4,1052,3
4,1090,3
4,1040,3
4,1197,1
4,1195,2
4,1012,1
4,1049,2
4,1144,3
4,1186,2
4,1034,3
4,1097,1
4,1113,4
4,1064,1
4,1172,1
4,1141,4
4,1067,1
4,1089,3
4,1114,3
4,1022,3
4,1086,3
5,1158,3
5,1103,1
5,1177,5
5,1096,3
5,1015,4
5,1109,4
5,1164,2
5,1028,4
5,1194,1
5,1088,1
5,1183,3
5,1110,5
5,1153,3
5,1156,2
5,1190,4
5,1084,4
5,1119,2
5,1049,1
5,1001,3
5,1012,5
5,1131,5
5,1046,1
5,1128,3
5,1168,1
5,1082,5
5,1111,4
5,1029,5
5,1089,2
5,1097,1
5,1094,5
5,1192,2
5,1038,4
5,1055,5
5,1066,5
5,1135,3
5,1102,3
5,1030,2
5,1117,2
5,1123,2
5,1093,2
5,1107,4
5,1165,5
5,1022,2
5,1018,1
5,1004,3
5,1127,2
5,1196,4
5,1034,2
5,1149,2
5,1139,3
5,1091,4
5,1157,1
5,1054,1
5,1009,2
5,1035,2
6,1172,1
6,1088,3
6,1127,1
6,1156,3
6,1194,5
6,1107,3
6,1031,3
6,1190,1
6,1056,2
6,1010,5
6,1009,5
6,1099,4
6,1067,4
6,1133,5
6,1083,3
6,1036,1
6,1008,3
6,1154,4
6,1014,4
6,1196,3
6,1066,4
6,1062,1
6,1082,1
6,1131,4
6,1053,3
6,1039,3
6,1095,5
6,1199,4
6,1106,5
6,1055,4
6,1064,2
6,1098,5
6,1200,3
6,1051,1
6,1034,1
6,1035,4
6,1070,4
6,1166,1
6,1136,1
6,1124,4
6,1004,3
6,1002,3
6,1085,3
6,1198,4
6,1076,5
6,1174,1
6,1003,4
6,1087,4
7,1159,2
7,1076,2
7,1045,5
7,1043,1
7,1070,3
7,1087,5
7,1057,2
7,1079,4
7,1003,4
7,1113,3
7,1183,5
7,1191,3
7,1125,2
7,1098,1
7,1020,5
7,1032,2
7,1100,4
7,1197,5
7,1148,4
7,1192,4
7,1005,3
7,1121,1
7,1018,2
7,1052,3
7,1178,4
7,1017,5
7,1072,1
7,1118,5
7,1053,2
7,1025,1
7,1066,2
7,1044,3
7,1034,5
7,1143,2
7,1090,5
7,1055,3
7,1107,1
7,1029,1
7,1019,2
7,1123,2
7,1089,4
7,1104,1
7,1128,3
7,1138,5
7,1026,5
7,1094,5
7,1062,3
7,1078,2
7,1146,4
7,1028,2
7,1184,1
8,1109,5
8,1132,3
8,1037,5
8,1087,2
8,1121,1
8,1042,2
8,1043,4
8,1175,4
8,1141,3
8,1016,1
8,1148,5
8,1174,3
8,1094,4
8,1095,4
8,1144,2
8,1011,1
8,1100,5
8,1183,2
8,1168,5
8,1003,5
8,1086,3
8,1124,5
8,1062,3
8,1057,5
8,1167,2
8,1164,3
8,1112,2
8,1015,1
8,1137,3
8,1020,1
8,1070,5
8,1053,2
8,1002,3
8,1123,3
8,1139,2
8,1060,1
8,1127,5
8,1147,2
8,1081,2
8,1162,5
8,1197,3
8,1118,4
8,1054,3
8,1146,5
8,1068,4
8,1119,5
8,1181,3
8,1034,3
8,1178,4
8,1017,3
8,1186,5
8,1064,4
8,1165,5
8,1193,1
8,1066,5
8,1145,2
9,1027,3
9,1111,4
9,1049,3
9,1078,4
9,1181,4
9,1164,4
9,1129,3
9,1146,4
9,1095,5
9,1123,2
9,1005,2
9,1086,3
9,1189,3
9,1138,1
9,1182,4
9,1055,1
9,1106,4
9,1122,5
9,1047,1
